TxHash,Nonce,Timestamp,Sender,Receiver,Function,Value,MiniBlockHash,Status
d272cef75cd97b167520713cf0ecacab943d871f0acc5f02819a23565edd7f42,3030,2024-12-06T12:09:18Z,erd10x6mj2a02cd33tx2nt9l5qfz750ened8rh5uuwsdfy4x8r6qjt3sp34der,erd17eamy3nsr5tm9nddyala2ld74swvuqy89jyvsa748aclh6fmpnzq3lmggl,ESDTTransfer,0,dbca5c18df6fb7670b23dc2feef46639d10ee36234fe89af94751ccb68ef6516,success
1c6de7b4c6ccadbaea7050ef9cc29064edd1c02c70f832662e8cf2488e1b5b79,3028,2024-12-06T12:09:18Z,erd10x6mj2a02cd33tx2nt9l5qfz750ened8rh5uuwsdfy4x8r6qjt3sp34der,erd1mygteayh39jreaspra29ygtkf3ndyzutjhnnjjk47lx6g3sc5z4qzgz597,ESDTTransfer,0,4edb8bcfa8f4bef18d1116931c26ab57b7121e2e5ca663dd54b68b4f1f7bdcfd,success
16a19938916ab9c367274f276d3eeb9bafa5b3d458103c19b63caf01713c7f92,3027,2024-12-06T12:09:18Z,erd10x6mj2a02cd33tx2nt9l5qfz750ened8rh5uuwsdfy4x8r6qjt3sp34der,erd1ls9yr3u7nz4qxyj2klau49k2fxk6ut9ssnq9d9hmqz5a4eg7g6mqelz5ge,ESDTTransfer,0,4edb8bcfa8f4bef18d1116931c26ab57b7121e2e5ca663dd54b68b4f1f7bdcfd,success
156a501078dc9d6dba1ea2b54323c9954994129d2dd9cf7ebd4f89b85e01654b,3025,2024-12-06T12:09:18Z,erd10x6mj2a02cd33tx2nt9l5qfz750ened8rh5uuwsdfy4x8r6qjt3sp34der,erd1ydw6yfq8juser8hgwt48wcz4c9xxvl0ufy7znfs8y3r725uhvdjqljvcme,ESDTTransfer,0,dbca5c18df6fb7670b23dc2feef46639d10ee36234fe89af94751ccb68ef6516,success
25770ba3e5f0e761483cb358676e944d3cea0121f13c872a45c4aac162b855bb,3024,2024-12-06T12:09:18Z,erd10x6mj2a02cd33tx2nt9l5qfz750ened8rh5uuwsdfy4x8r6qjt3sp34der,erd1tk8l0nt3gt4jnj0uxlzcd93cvy8qm9c3demcsjzrt9rcktjsduvqty8p6p,ESDTTransfer,0,dbca5c18df6fb7670b23dc2feef46639d10ee36234fe89af94751ccb68ef6516,success
2deb704707c00484aa94c67f3d55aefc38baa76b0a8bc53b841cee3108c5a521,3022,2024-12-06T12:09:18Z,erd10x6mj2a02cd33tx2nt9l5qfz750ened8rh5uuwsdfy4x8r6qjt3sp34der,erd1f3mt45cyt474qvwwdwzx42zw406l7gl2t9xt40pkt0x6c2yhjevqhfl2yv,ESDTTransfer,0,dbca5c18df6fb7670b23dc2feef46639d10ee36234fe89af94751ccb68ef6516,success
041059e8d93749c937e1f3840a42dfecb8fa247a1e8b53b09e95d77ae236d4d2,3021,2024-12-06T12:09:18Z,erd10x6mj2a02cd33tx2nt9l5qfz750ened8rh5uuwsdfy4x8r6qjt3sp34der,erd1nnqk2ylt4lxmedkugpv30gtkhfwly8dxmkg4f52l8m3enne2lqkq4rv543,ESDTTransfer,0,dbca5c18df6fb7670b23dc2feef46639d10ee36234fe89af94751ccb68ef6516,success
6d5d6ed0796d6f4c79c36b9c09bf6b63f404033f0a080703528617298ceeba0f,3017,2024-12-06T12:09:18Z,erd10x6mj2a02cd33tx2nt9l5qfz750ened8rh5uuwsdfy4x8r6qjt3sp34der,erd1pkuu89gakrjpqeq2frqhrlmvx6qqafp6vd85m07s5tlffjf9u6uql5y43v,ESDTTransfer,0,dbca5c18df6fb7670b23dc2feef46639d10ee36234fe89af94751ccb68ef6516,success
3a8ed23b4b9eb1f6420bf5e9ec661b788cd5f750a8e2398a9e0269a8b131d283,3015,2024-12-06T12:09:18Z,erd10x6mj2a02cd33tx2nt9l5qfz750ened8rh5uuwsdfy4x8r6qjt3sp34der,erd1yzq8pre46p64ntu9pnec7u6f5esmkd22p2vlk48lllg8mpwnle6ql03wqa,ESDTTransfer,0,dbca5c18df6fb7670b23dc2feef46639d10ee36234fe89af94751ccb68ef6516,success
838bc2351af69e3a2c6528bc9b232e4f3d3ef43fb8d79af6db00b6ba5c33871d,3012,2024-12-06T12:09:18Z,erd10x6mj2a02cd33tx2nt9l5qfz750ened8rh5uuwsdfy4x8r6qjt3sp34der,erd13zf09n9kaz27pzw2jcfnl08rjdyl60nfjm7n3hd5ad2wqfxttzvqwlgrld,ESDTTransfer,0,dbca5c18df6fb7670b23dc2feef46639d10ee36234fe89af94751ccb68ef6516,success
