TxHash,Nonce,Timestamp,Sender,Receiver,Function,Value,MiniBlockHash,Status
580fefa8a136dd734b78f82dc20839541b12dd514b718e03e69637ac91b5c2e5,2929,2024-12-06T12:09:18Z,erd13fdhz46q4m7tvy43sg6mpcwmpwxu7jseq2hgd353wed4g89ppy2stn26c3,erd1vqe5qgavqmga0rwev67npzlfrg2tqrx8gaj7zhy2xnasma9v5y3qhlv528,ESDTTransfer,0,4edb8bcfa8f4bef18d1116931c26ab57b7121e2e5ca663dd54b68b4f1f7bdcfd,success
802e2c2ec398095b4b236cb1ce2d038e41750687f8ab319b257f8b2711bc2822,2928,2024-12-06T12:09:18Z,erd13fdhz46q4m7tvy43sg6mpcwmpwxu7jseq2hgd353wed4g89ppy2stn26c3,erd1fmnncxs75kmgtsd5zy5zrdvz2gk29j90386pwhx0ndglvmtf7mtqz9gc2z,ESDTTransfer,0,4edb8bcfa8f4bef18d1116931c26ab57b7121e2e5ca663dd54b68b4f1f7bdcfd,success
d0b533ebe5043e1b9473a7e029adb0e73791ec3279f424f92b921dca4a21b34c,2926,2024-12-06T12:09:18Z,erd13fdhz46q4m7tvy43sg6mpcwmpwxu7jseq2hgd353wed4g89ppy2stn26c3,erd1at3w20hqxz9w849sg4kh8pvzmx7w7n2vm3yyyk2qsml3lpld8ltqqvc7u5,ESDTTransfer,0,4edb8bcfa8f4bef18d1116931c26ab57b7121e2e5ca663dd54b68b4f1f7bdcfd,success
0b7ff7420276d60225a26615dcdcabd0a47864668698e69888a85382fa2fa51f,2925,2024-12-06T12:09:18Z,erd13fdhz46q4m7tvy43sg6mpcwmpwxu7jseq2hgd353wed4g89ppy2stn26c3,erd1waj6vudehu7k6etnqyac7mp97tq5vjp32n9r0zu0l054lj3uvw5qnwa8f7,ESDTTransfer,0,dbca5c18df6fb7670b23dc2feef46639d10ee36234fe89af94751ccb68ef6516,success
7475a4aa37c8a18e4ff64dc6c39b7efbb41f6479373b6141207599940c586f00,2923,2024-12-06T12:09:18Z,erd13fdhz46q4m7tvy43sg6mpcwmpwxu7jseq2hgd353wed4g89ppy2stn26c3,erd1086jzfwsyjp6wu5egacfnxv8lsmgap238ewxj5gt20ajf4jmy4fq6w6j82,ESDTTransfer,0,4edb8bcfa8f4bef18d1116931c26ab57b7121e2e5ca663dd54b68b4f1f7bdcfd,success
142b15683a855e9876fc8fa2186984b541d3698a524205d5e8448a42d60ec3dd,2922,2024-12-06T12:09:18Z,erd13fdhz46q4m7tvy43sg6mpcwmpwxu7jseq2hgd353wed4g89ppy2stn26c3,erd1suatuagyrmxnxkgpckpvrnzst8mu8wdj8003p4pmjazpcaddgekqxukfnf,ESDTTransfer,0,dbca5c18df6fb7670b23dc2feef46639d10ee36234fe89af94751ccb68ef6516,success
1fc6989975d5023ab3432e4096df433ade809151359b3df5dd276e18affcaf11,2916,2024-12-06T12:09:18Z,erd13fdhz46q4m7tvy43sg6mpcwmpwxu7jseq2hgd353wed4g89ppy2stn26c3,erd1udzgf97lulvy6702ya6cw2250g373chznsq8skp5wmjtnmegh23qnxyq96,ESDTTransfer,0,4edb8bcfa8f4bef18d1116931c26ab57b7121e2e5ca663dd54b68b4f1f7bdcfd,success
7587c5871172dec3fbcb7576ef8e37707d5d7d6384bd38ac8deca0a2922079bf,2915,2024-12-06T12:09:18Z,erd13fdhz46q4m7tvy43sg6mpcwmpwxu7jseq2hgd353wed4g89ppy2stn26c3,erd1tjncljystvcd3vx97v0d2s82zqdj5vl9v4tfw039h4hyt93d88fqa6nj09,ESDTTransfer,0,4edb8bcfa8f4bef18d1116931c26ab57b7121e2e5ca663dd54b68b4f1f7bdcfd,success
223db97a6f2efba61a1cf1ed711db2f2a191f0205649d4efd2f53742799f81c9,2914,2024-12-06T12:09:18Z,erd13fdhz46q4m7tvy43sg6mpcwmpwxu7jseq2hgd353wed4g89ppy2stn26c3,erd1s5pqf9fx5rjkdtql4cjlywh4sd0dlc3x4x9ckeu0a3yn9cnnep5qnn5yew,ESDTTransfer,0,dbca5c18df6fb7670b23dc2feef46639d10ee36234fe89af94751ccb68ef6516,success
5951289ffa6806b12b0d3e22ae065db6f197fd1007343e11f444ae27cd3ba315,2913,2024-12-06T12:09:18Z,erd13fdhz46q4m7tvy43sg6mpcwmpwxu7jseq2hgd353wed4g89ppy2stn26c3,erd15e56ed93w42vxx5w2dzq3sye24je3nmtdgttz7rzncm56g53a67qvnpu2q,ESDTTransfer,0,dbca5c18df6fb7670b23dc2feef46639d10ee36234fe89af94751ccb68ef6516,success
aaf206884262d244166fe051d9b886d40612c0ca6e0159c0a827ef828aecb87f,2912,2024-12-06T12:09:18Z,erd13fdhz46q4m7tvy43sg6mpcwmpwxu7jseq2hgd353wed4g89ppy2stn26c3,erd15p690fd8pexu2lyy0j60wddchz0n0hvg554g8vqk2dj4pueyfzpq9z2hkg,ESDTTransfer,0,4edb8bcfa8f4bef18d1116931c26ab57b7121e2e5ca663dd54b68b4f1f7bdcfd,success
6923d99e2c9c36ae7e1074d2a9bace02375d9f2fc5e5032106612f7bef32252b,2911,2024-12-06T12:09:18Z,erd13fdhz46q4m7tvy43sg6mpcwmpwxu7jseq2hgd353wed4g89ppy2stn26c3,erd1l69shfc7xs5wkdsk9gvxsyg67s538hdcxcg4xkjysg9xz86mmwnqfss3z8,ESDTTransfer,0,4edb8bcfa8f4bef18d1116931c26ab57b7121e2e5ca663dd54b68b4f1f7bdcfd,success
