TxHash,Nonce,Timestamp,Sender,Receiver,Function,Value,MiniBlockHash,Status
84c57f5db08cccec55f355bb9aac4c185ce2bec281097de1c539a9f43525bd09,3032,2024-12-06T12:09:18Z,erd14azdv5gzrr5udqlls4vs0n69ewpj7wkpxvctr44aaj2t7pgrstzqclpq4s,erd1x029nhwswpgna9gvvvmeysdk7ku2vkcv9dhuzrw65w34zfvg5flswskff3,ESDTTransfer,0,0cabc37fa06190eda8d2acb65aeab0105d36977b6fc8135363d4303af415caaa,success
857a0843fbbf0cece6c575c0b194a00da9ccb327757ac1906a8001ab35b2e5a1,3031,2024-12-06T12:09:18Z,erd14azdv5gzrr5udqlls4vs0n69ewpj7wkpxvctr44aaj2t7pgrstzqclpq4s,erd12an6veu34gmha6f0wre9cv5kvvgng5q7jukqtqra7da9f4ft33pqcfkhlh,ESDTTransfer,0,7688115c9309e4a22842d3742bf2db9815b91191741bce3c1e6332ef05d4e0d5,success
8a869aec468c881cfc71e66f9e63c6676a2af3849b7a5a25b845f9ecea116be2,3030,2024-12-06T12:09:18Z,erd14azdv5gzrr5udqlls4vs0n69ewpj7wkpxvctr44aaj2t7pgrstzqclpq4s,erd1pu8744cnhcsdvzfy5yc92s8d6jadlh0ewwdsfehyuzz6nd2dl7psunjthk,ESDTTransfer,0,0cabc37fa06190eda8d2acb65aeab0105d36977b6fc8135363d4303af415caaa,success
73acbfe7c1c3a28f26060eb90594d41eddf3cb4a640050ca17ac18db145cd6fd,3028,2024-12-06T12:09:18Z,erd14azdv5gzrr5udqlls4vs0n69ewpj7wkpxvctr44aaj2t7pgrstzqclpq4s,erd1djawvztqmp4j9pwdynsz9vezdduleyacmtm96u8d70w763tm2tlsruth0g,ESDTTransfer,0,0cabc37fa06190eda8d2acb65aeab0105d36977b6fc8135363d4303af415caaa,success
19c87124a043575693dfe71b60fb3209937d8fad92da5d629865e563aed81155,3025,2024-12-06T12:09:18Z,erd14azdv5gzrr5udqlls4vs0n69ewpj7wkpxvctr44aaj2t7pgrstzqclpq4s,erd199fsyg0mgfsnjxv3lwl8x7aelzfk4guzjy7e94gt3s4nrky3xqaqce04js,ESDTTransfer,0,7688115c9309e4a22842d3742bf2db9815b91191741bce3c1e6332ef05d4e0d5,success
1719b1c1e34d583eb8679b771f2273ad67b422b38156e568b1e5f6c538461b54,3024,2024-12-06T12:09:18Z,erd14azdv5gzrr5udqlls4vs0n69ewpj7wkpxvctr44aaj2t7pgrstzqclpq4s,erd1scfgkq2p2ks3dglpmrsugqr2mv2qv7usxccgrwrmcg5n8zr9qrgs0xeeky,ESDTTransfer,0,0cabc37fa06190eda8d2acb65aeab0105d36977b6fc8135363d4303af415caaa,success
619b862b4fb931c2cdf8521ca0e33a704d238485ce0c1c0146dd6e5265f53bbf,3023,2024-12-06T12:09:18Z,erd14azdv5gzrr5udqlls4vs0n69ewpj7wkpxvctr44aaj2t7pgrstzqclpq4s,erd1zdjnsf467xedj5j8ug58wmny62uq05n259rrzn2gq6aarskxwepqll7e0h,ESDTTransfer,0,7688115c9309e4a22842d3742bf2db9815b91191741bce3c1e6332ef05d4e0d5,success
5503090b2c16823c1a912379bd5b8e0eda04c9bb5e8240c46c068c142ec0c868,3022,2024-12-06T12:09:18Z,erd14azdv5gzrr5udqlls4vs0n69ewpj7wkpxvctr44aaj2t7pgrstzqclpq4s,erd1lv8kntdlpzxl5q24ytgu7agx5jpfw7wdmemp7alazpzrl7fg8l8sekv78d,ESDTTransfer,0,0cabc37fa06190eda8d2acb65aeab0105d36977b6fc8135363d4303af415caaa,success
61ab87f7a84c263512becf7f531437a1017094255b578f244f4ad9fabf3c636b,3020,2024-12-06T12:09:18Z,erd14azdv5gzrr5udqlls4vs0n69ewpj7wkpxvctr44aaj2t7pgrstzqclpq4s,erd1avgzfs2yrx7v6j8jljj24ns9phja3d2mjjem693njszqqgrae4lqgqv3gz,ESDTTransfer,0,7688115c9309e4a22842d3742bf2db9815b91191741bce3c1e6332ef05d4e0d5,success
4b2d2e36c41ed4f4030308b603437809882f034f282968e424c2383a89ba76bf,3019,2024-12-06T12:09:18Z,erd14azdv5gzrr5udqlls4vs0n69ewpj7wkpxvctr44aaj2t7pgrstzqclpq4s,erd1xajk80nfnyk9mycmu2g6y7ysv394p6mu0mxedrkvf0y7vus0rcrsktdlly,ESDTTransfer,0,0cabc37fa06190eda8d2acb65aeab0105d36977b6fc8135363d4303af415caaa,success
