TxHash,Nonce,Timestamp,Sender,Receiver,Function,Value,MiniBlockHash,Status
25cd46ca8442477b33a4c4c04fcf4c84252395cc685e64fe06f9593bf946da42,2930,2024-12-06T12:09:18Z,erd156ym2y90ts0hpk0nvvd2xm0u7mtc6y3p2mqxagf4qmlj9672fgxq48ew6j,erd15ad9cxzfj90mna5vfnzv8eyx0nds66ss3d2h4kck6ylsandssepsuklr49,ESDTTransfer,0,0cabc37fa06190eda8d2acb65aeab0105d36977b6fc8135363d4303af415caaa,success
1aed49796dcc26961c351f47cb4a42437adf43544253012cf08828546d056806,2929,2024-12-06T12:09:18Z,erd156ym2y90ts0hpk0nvvd2xm0u7mtc6y3p2mqxagf4qmlj9672fgxq48ew6j,erd1vewd37wfqugsqxu97u5zel6lvl6w8cwuzsmfl66n4cf95ltlkghsh5ze4r,ESDTTransfer,0,0cabc37fa06190eda8d2acb65aeab0105d36977b6fc8135363d4303af415caaa,success
0f5cee1f7737366460cc0792d01d1b7e36bb5700e911f87cc49f9d00e281426c,2927,2024-12-06T12:09:18Z,erd156ym2y90ts0hpk0nvvd2xm0u7mtc6y3p2mqxagf4qmlj9672fgxq48ew6j,erd1w567663x5xply0qssypv5fal80a6dnrmnyscxnf90dctk82z4wfsnupkgc,ESDTTransfer,0,0cabc37fa06190eda8d2acb65aeab0105d36977b6fc8135363d4303af415caaa,success
82c949559a36d091ec89ab59ef377490bdd1bfcbe8b0b5d2a2b33fac11ef784d,2926,2024-12-06T12:09:18Z,erd156ym2y90ts0hpk0nvvd2xm0u7mtc6y3p2mqxagf4qmlj9672fgxq48ew6j,erd13xnpsa5a4hhyk0j7p76xg5mdv8xhrgenzlxfq3smvxjstj5pdtaq6np5vt,ESDTTransfer,0,7688115c9309e4a22842d3742bf2db9815b91191741bce3c1e6332ef05d4e0d5,success
42e4fed9a962c4754cca1485ca96ecdff3b6e18da49f60302f7c90a004601065,2924,2024-12-06T12:09:18Z,erd156ym2y90ts0hpk0nvvd2xm0u7mtc6y3p2mqxagf4qmlj9672fgxq48ew6j,erd1ght4wzv2ax3hn7mqtumr0kwwkzmpwmqsqsdm366ajhqkr2z8aapss2dycq,ESDTTransfer,0,0cabc37fa06190eda8d2acb65aeab0105d36977b6fc8135363d4303af415caaa,success
4421ab4697b99b0a448273ced344820d31553f17b5c426487174a34c66181f9b,2918,2024-12-06T12:09:18Z,erd156ym2y90ts0hpk0nvvd2xm0u7mtc6y3p2mqxagf4qmlj9672fgxq48ew6j,erd1dxht074v6gp64heznty9mw2r2t2h3vj4j7j79qnzzvxrjvhz8nvsvcptd0,ESDTTransfer,0,0cabc37fa06190eda8d2acb65aeab0105d36977b6fc8135363d4303af415caaa,success
636ec461c28593ef00a5fbafa3daa096b10c41af874ff07270fd92f1a8fbf558,2917,2024-12-06T12:09:18Z,erd156ym2y90ts0hpk0nvvd2xm0u7mtc6y3p2mqxagf4qmlj9672fgxq48ew6j,erd16496mdw7ynqmzggpqhaq28mmfs3mj9cpsfaqrlge6ucw74cw2f4qkznqam,ESDTTransfer,0,7688115c9309e4a22842d3742bf2db9815b91191741bce3c1e6332ef05d4e0d5,success
3efff43cb9eafb5e3d805b05451b3464ff47b8b78d42da65b4ae145a8969d1ed,2916,2024-12-06T12:09:18Z,erd156ym2y90ts0hpk0nvvd2xm0u7mtc6y3p2mqxagf4qmlj9672fgxq48ew6j,erd10l8dlwaedyw629mmr98wxywq3z4jt3m3xhhgpyq5lmxllsdsh0mszlvm2k,ESDTTransfer,0,0cabc37fa06190eda8d2acb65aeab0105d36977b6fc8135363d4303af415caaa,success
d8555e936e0381bbb5ee3c387f083e12de439a8b1aab7449db8dcdb21d9d59d1,2915,2024-12-06T12:09:18Z,erd156ym2y90ts0hpk0nvvd2xm0u7mtc6y3p2mqxagf4qmlj9672fgxq48ew6j,erd1uvx666af0ffp3qlnym6gwtm0xj5ewrl3rdqn9jh4sdrshh7hf93sgc52hz,ESDTTransfer,0,0cabc37fa06190eda8d2acb65aeab0105d36977b6fc8135363d4303af415caaa,success
943b418f685b954c32ed6613d75b2c5c6ecd893f2719686384a33c1d45e31f3f,2914,2024-12-06T12:09:18Z,erd156ym2y90ts0hpk0nvvd2xm0u7mtc6y3p2mqxagf4qmlj9672fgxq48ew6j,erd143tmadajp95fyjhs95n53ryk0fdn47rkpvwyxgwejaeafjxsfgmqarrxw0,ESDTTransfer,0,7688115c9309e4a22842d3742bf2db9815b91191741bce3c1e6332ef05d4e0d5,success
6b60783422887c2e99c22e6a006545e5d3a8a09c2c3eae0b5d0d9ac41600af03,2912,2024-12-06T12:09:18Z,erd156ym2y90ts0hpk0nvvd2xm0u7mtc6y3p2mqxagf4qmlj9672fgxq48ew6j,erd15q2gz8e8f7uctfy2g05q435w88ud9qzcz44s3cvtq3wke62txe0qmlx9j6,ESDTTransfer,0,7688115c9309e4a22842d3742bf2db9815b91191741bce3c1e6332ef05d4e0d5,success
