TxHash,Nonce,Timestamp,Sender,Receiver,Function,Value,MiniBlockHash,Status
6aa613c204a4aeb4bb36e32004eddda5c383de6f798465b9f521d4ff77cf6987,3032,2024-12-06T12:09:24Z,erd1zhwcnrp3q3l5vn7k65wqmqk84lqqlyj4l6jmke2qx8e0pxfg5glsut63ct,erd1cm9kxctffcasz3k9zgcr784af6vaxlsw9ewtrgkkkmvsswsegcvqks2nxz,ESDTTransfer,0,65991587aa30f5eb1d2f9776b07c7e81c486dba38fd7a99cdb472cd8bcfd4bde,success
872bce43bd6536f86d82f308d80c9774654330f7e00be9edfcbaebfeb1a4f443,3031,2024-12-06T12:09:24Z,erd1zhwcnrp3q3l5vn7k65wqmqk84lqqlyj4l6jmke2qx8e0pxfg5glsut63ct,erd1v7q4lky82ypnuw4vj2473zknwdwr2mcsd7y3mpq4mmcngflvg08qadhwnw,ESDTTransfer,0,706171ed62b450aff08521bbc5f69c0e386685c796e9cfc46e11436637ea7726,success
10ecd1b0593cc4ac7895c553a7c9fc88153b44ddbb3c1dd390041c9d38dbaaa0,3028,2024-12-06T12:09:24Z,erd1zhwcnrp3q3l5vn7k65wqmqk84lqqlyj4l6jmke2qx8e0pxfg5glsut63ct,erd1clzfz84qcfnhmu3h8kqn0se2npakc5aj06hcgqn0gx36pjqtvapqr6wwwz,ESDTTransfer,0,706171ed62b450aff08521bbc5f69c0e386685c796e9cfc46e11436637ea7726,success
48f46984d3ab26e30fdfcd8d2a5da5eada3d4ca1fc34f60a8f4b5c311d9e1c02,3027,2024-12-06T12:09:24Z,erd1zhwcnrp3q3l5vn7k65wqmqk84lqqlyj4l6jmke2qx8e0pxfg5glsut63ct,erd1ptt0qg6wzs346f7fhvc6fl0k80tnn6auzj3u6gtedg2jct94696qmhtylx,ESDTTransfer,0,65991587aa30f5eb1d2f9776b07c7e81c486dba38fd7a99cdb472cd8bcfd4bde,success
f010a8762cd54a85fad742257935bc288a130ab30d75597465ffe95267a16ff6,3025,2024-12-06T12:09:24Z,erd1zhwcnrp3q3l5vn7k65wqmqk84lqqlyj4l6jmke2qx8e0pxfg5glsut63ct,erd198xwfenaydp58r2awa2acmkm4kh4mxgthgdxmdkftveylsn433zqcnyz6v,ESDTTransfer,0,65991587aa30f5eb1d2f9776b07c7e81c486dba38fd7a99cdb472cd8bcfd4bde,success
dac7214316137a5fd1f5db6e4ada496e2aa4f63539beacffc63261c1f92acb50,3023,2024-12-06T12:09:24Z,erd1zhwcnrp3q3l5vn7k65wqmqk84lqqlyj4l6jmke2qx8e0pxfg5glsut63ct,erd1nx6txyq05llyfm7vynca88l8gq05p7evjn7exlv5jrz7jvkhfl9qr4mvmg,ESDTTransfer,0,706171ed62b450aff08521bbc5f69c0e386685c796e9cfc46e11436637ea7726,success
ac198549ba8105f37accd1545eca6e91fa4152e31528a4dddf7626415f3788f0,3019,2024-12-06T12:09:24Z,erd1zhwcnrp3q3l5vn7k65wqmqk84lqqlyj4l6jmke2qx8e0pxfg5glsut63ct,erd1lzc0s8rlkxag0z0vql32qpuks6vuu5nflks2ns0ujwgs4use8zxqh984ez,ESDTTransfer,0,65991587aa30f5eb1d2f9776b07c7e81c486dba38fd7a99cdb472cd8bcfd4bde,success
b063d57f016e87d0f6e1bfc7f1ca136ef7b7c264581a74b887088ea5c993e11e,3016,2024-12-06T12:09:24Z,erd1zhwcnrp3q3l5vn7k65wqmqk84lqqlyj4l6jmke2qx8e0pxfg5glsut63ct,erd1kmfru2syupdfa5v0npgr86um57lmynnualr08sr00uden4h8wqtqtuu8xr,ESDTTransfer,0,706171ed62b450aff08521bbc5f69c0e386685c796e9cfc46e11436637ea7726,success
b7027dbbbbd68a7605dea476ffbbd2ffe65081fa01fb373cf5c5e626b31d20fc,3015,2024-12-06T12:09:24Z,erd1zhwcnrp3q3l5vn7k65wqmqk84lqqlyj4l6jmke2qx8e0pxfg5glsut63ct,erd1zk8djg25eux2sk925jmas7ejwzljt4rx7adhl66x9sz0g9cg9w4qgtg5c0,ESDTTransfer,0,706171ed62b450aff08521bbc5f69c0e386685c796e9cfc46e11436637ea7726,success
e765ba2444e61014d19bec9fc7a7e740acd92c417b79aeef847364eec25eb857,3014,2024-12-06T12:09:24Z,erd1zhwcnrp3q3l5vn7k65wqmqk84lqqlyj4l6jmke2qx8e0pxfg5glsut63ct,erd1rvhvqs00yfjadhh8ka457wf9ct43pxcvq5ks8le3yey0hcppl3kqjrl0va,ESDTTransfer,0,65991587aa30f5eb1d2f9776b07c7e81c486dba38fd7a99cdb472cd8bcfd4bde,success
